key,text
Bee Kheng Tay,"President, Cisco ASEAN | Sales Leadership | Women In Tech | Cybersecurity | Driving Innovation & Collaboration I've always believed in allowing your passion to find and drive you. The tech industry has always been so exciting to me because of its potential to unlock new opportunities, especially for a dynamic and diverse region like ASEAN I call home. In my current role as President of Cisco ASEAN, I work closely with a world-class team to develop our go-to-market strategies and oversee its operations across ten countries in the region. I have a deep passion for innovation, digital transformation, and enriching the customer experience. In my role, I am focused on driving innovation for businesses and helping them build a seamless, agile and secure digital infrastructure that powers hybrid work in a cloud-first world. Success starts with building innovative sales organizations that are characterized by their focus on customers and partners, operational excellence, and a winning culture. Since joining Cisco in 2016, I have been heavily involved in the implementation of Cisco's customer-first experience strategy, a pivotal step to our transition as a software-first company. I was the first female leader to lead Cisco's Singapore and Brunei business for three years. And today, the first female President for Cisco ASEAN. Outside of work, I believe in driving career progression for fellow women in the STEM industry and do so by creating open forums and helping them leverage resources such as mentorship and networking to find their own passions and pathways in tech. Beyond the world of IT, I have a keen interest in history, psychology, philosophy, and science. Cisco is changing the way people work, live, play and learn. I have been in the technology sector for all of my career and the tremendous impact that Cisco brings has never ceased to excite and energize me. Today, I’m enjoying the role of leading Cisco’s business in Singapore and Brunei as it allows me to play a key role in these countries’ digitization journey. I am focused on driving cybersecurity and innovation, creating a world-class customer experience, growing our partner ecosystem, and making Cisco a great place to work. I am also passionate about how smart, secure technology can improve the lives of Singaporeans and Bruneians in bold and meaningful ways. There’s never been a better time for technology to solve the world’s toughest challenges, and in today’s digital age, our top priority is helping companies, cities and countries make new things possible through digitization. Specialities: • Focus on digital transformation of business and government • Build sales strategy and accelerate business growth • Drive go-to-market innovation • Cross functional team leadership • Possess deep knowledge of Asia Pacific markets Appointed into the role with a remit to accelerate revenue success and align countries and multi-disciplined teams to overall worldwide and region strategy. • Manage a revenue size of US$270M and organization size of 300 across the Asia Pacific Japan (APJ) region • Develop transformational 3 year Growth Plan with region and countries using HP’s Playing to Win strategies focusing on People, Portfolio, Partners and Pipeline with Customers at the center • Reinvigorate the organization from a talent standpoint in sales and presales using the Maturity Model framework (for value selling) to build a world class sales organization • As the face of HPSW in the region, drive tighter collaboration within HPSW business units as well as with other HP business groups in joint customer pursuits • Build HPSW external positioning as the key spokesperson for analysts, media and at industry forums Appointed into the role to transform Sales Operations from a back-end function into a business enabler. This transformation spanned processes, people, thought leadership, operating culture and stakeholder engagement. With HPSW removing a legacy business from its portfolio, there was a need to develop and scale existing portfolios to address the revenue gap. This role focused on salesforce capability transformation which involved a mix of both developing relevant skills as well as entrenching a high performing sales culture."
Biren Fondekar,"Head of Customer Experience (CX) and Digital Go-to-Market Strategy at NetApp | Machine Learning & Data Processing Executive | Digital Transformation & Cloud Software Leader Biren Fondekar is the Head of Customer Experience (CX) and Digital Strategy at NetApp, a premier hybrid cloud data services and data management company headquartered in Sunnyvale, California. NetApp has ranked in the Fortune 500 annually since 2012. In his current role, Biren spearheads the ongoing transformation of NetApp's Customer Experience and the digitization of traditional operations by generating new business opportunities, revenue streams, and customer services through the adoption of new digital technologies. He oversees the company's ongoing CX and productivity improvements, which have resulted in significant savings in operating costs and a positive response from customers and partners. Biren is also currently leading several ongoing growth and business simplification initiatives that will continue to help NetApp win new customers and boost its industry leadership. Having been at NetApp for over 12 years now, Biren has ascended up the ladder in various positions. His strong track record of engineering and digital transformation expertise has spanned strategy to execution, including leading the company’s digital transformation efforts as Chief Transformation Officer and heading the tools engineering organization at NetApp, where he led corporate efforts aimed at improving customer experience and engineering productivity across the NetApp product portfolio. His expertise and accomplishments also include harnessing the power of machine learning and AI on product telemetry data, to better deliver predictive insights and actionable intelligence for NetApp customers, DevOps workflow automation, and product globalization. His contributions towards the development of NetApp’s Active IQ have led to its establishment as the digital data hub of the company. He has extensive experience and expertise in the fields of big data technologies, computer networks, and network storage systems. He holds two patents in the area of systems simulation. Biren holds a Bachelor of Science degree in Electrical Engineering from the National Institute of Technology, Warangal, India, and a Master of Science degree in Computer Science from Utah State University. • Responsible for spearheading the ongoing transformation of NetApp’s traditional operations by using digital processes; focusing on generating new business opportunities, revenue streams and customer services through the adoption of new digital technologies, including NetApp’s Active IQ, which is the cornerstone of the company’s digital services roadmap. • Oversee ongoing productivity improvements throughout NetApp; delivering significant savings in operating cost and a positive response from customers. • Leading several ongoing growth and business simplification initiatives that will continue to help NetApp win new customers and boost its industry leadership. Led the strategies to improve customer experience and engineering productivity across the NetApp product portfolio. Leveraged machine learning and AI on product telemetry data to enable predictive insights and actionable intelligence for customers, DevOps workflow automation and product globalization. • Led development of software engineering tools and technologies used across the Cisco engineering lifecycle, from product design through delivery, to drive productivity and streamline the product development lifecycle. These tools supported all products, from embedded devices to applications like Network Management and Webex. • Improved engineering productivity through innovation within the engineering tooling infrastructure – driving 70% improvement in product build times • Led the development team for an Eclipse-based common development and collaboration platform for engineering; partnering with industry leaders and universities to provide state-of-the-art technologies for software engineering. • Led the test services team aimed at providing tooling and infrastructure to support critical path test activities across the engineering lifecycle and with Cisco customers; from the developer's desktop for tasks related to early defect detection, to extending all the way to regression and system testing and eventually, customer deployments. • Added product security as an area of focus for the team and introduced industry leading technologies and techniques to help improve product security • Responsible for driving the Cisco Quality Initiative and other cross-functional initiatives designed to instill quality and consistency in product development processes and workflows. • Responsible for providing network simulation tools for voice and data products; including simulators for various network protocols and voice endpoints. • Partnered with Cisco's Services Organization to provide network simulation and test automation tooling to support Cisco’s Network Verification Service. This service provided Cisco's top service provider and enterprise customers with a service to assist them in product certification and deployment. • Served as a member of the Cisco Patent Committee to help promote and encourage innovation in the areas of product design, development and test."
Brijesh Mehta,"Marketing and Media Analytics Manager at USEReady Tableau Server Certified Professional | Experienced BI architect/engineer specializing in data visualization, data warehouse design, data pipelines and implementation of business intelligence tools and reporting solutions. I design holistic solutions that support advanced analytical processes for gaining competitive insight from data. From clickstream to transactional data, I provide insight that paves the way for future success. Specialties: 13+ years experience with SQL technologies including advanced level SQL scripting, stored procedures, functions, and ETL using Postgres, MySQL, SQL Server and Oracle. 3+ years experience in designing large scale, distributed platforms with Tableau Server. 1+ years experience developing in Python, primarily around integration with REST APIs to automate analytical processes. Currently using Python with Hive and learning Spark and Javascript. At USEReady my job is to undertake and support customers seeking insights into ROI-driven marketing and advertising initiatives. In a recent client engagement, implemented advanced analytics for a large nonprofit public service advertisement company, enhancing overall marketing and advertising performance - Analyzed data sources across paid, owned and earned media - Brought visibility into social, digital and mass-media campaigns - Evaluated campaign spend, effectiveness, performance and ROI - Created single source of truth for marketing and advertising data - Built Tableau dashboards offering key metrics, insights and trends - Tech used - Proprietary data stores, Salesforce, Hubspot, Marketo, WDC, MSSQL, Alteryx, Tableau Drove analytics operations for various media channels, spend metrics and overall profitability. Lead teams with the development of user-friendly Tableau dashboards to report user-centric KPIs that helped improve campaign performance, media utilization, customer retention, etc. for a large cable television provider/multiple system operator with headquarters in New York City. Tech used - Tableau, Alteryx, Oracle, Netezza, Amazon redshift. Fostered a data-driven culture by using sales, campaigns, digital marketing, SEO, affiliate, email marketing, customer service, budgeting, and forecasting data. Tracked consumer and industry trends to enhance marketing and support innovation teams by using Excel, SQL, and Tableau, to analyze data, create dashboards and visualizations to deliver compelling business and product insights."
Clairin Loh,"Business Development, Oil Products Trading, Southeast Asia, Shell Over 15 years Asia Pacific focused experience in Oil and Gas downstream sector. Proven delivery in origination of cross barrel cross business trading opportunities, mergers and acquisition, business improvement and strategy development. Strong commercial acumen, a keen eye to maximise business opportunities and customer focus gained from experience as a management consultant with AT Kearney and various roles in Shell across the Energy Value Chain including Downstream Strategy and Portfolio, Gas and Power, Lubricants, Retail and Alternative Energy Specialties: Cross barrel Trading business development and origination, Strategic sourcing, New market entry, Due diligence, Mergers and Acquisitions Responsible for originating mid to long term cross barrel oil products trading opportunities in Asia including refinery products offtake, swaps, supply of oil products, new market development, structured financing and other deal structures. Focus on key Southeast Asia markets including Myanmar and Indonesia. Responsible for market development of gas and LNG in Asia Pacific, with a focus in the policy and regulatory space Responsible for the launch of a new marine lubricant which contributes over 50% of the reveune in Shell Marine Products. Strategic and business process consulting including areas such as strategic sourcing, supply chain optimisation, business process improvement, pricing management and market sizing and entry strategy. Led due diligence for asphalt business acquisition in China. Conducted strategic review of Thailand's retail business to identify non organic growth options eg MandA Supported the regional sales and marketing team in developing the Industry lubricants strategy, planning, pricing management and development of customer value proposition Responsible for managing the profitability of confectionary and car care categories sold through the convenience stores within Shell Singapore retail network."
Devidas Pai,Bulk Annuity & Longevity Pricing. An Actuarial professional with 5+ years experience in Life and Pensions. Aim to enhance my skills and gain expertise in diverse verticals within the actuarial domain. Specialties: - Pricing of Longevity Swaps - Pricing and Valuation of UK bulk annuities and US Pension Products. - Traditional Embedded Value reporting - Prophet/Moses
Dhananjay Gupte,"Chief Operating Officer at Senquire Pte Ltd Global C-Level Executive with 32+ years of experience in Integrated Supply Chain / Turnarounds / M&A’s / Restructuring / JV’s / Business Strategy, with the vision and leadership insights to strategically plan, direct and control company operations to capitalize on emerging global business opportunities. Expertise in providing breakthrough leadership to achieve corporate strategies, build coalition to support business growth and implement and manage change to drive organizational performance. Having a vast experience in growing & restructuring businesses and working on M&A’s with PE firms as well as large Investment banks. A leader and strategist, driving businesses by identifying opportunities, streamlining systems with focus on the bottom line, process efficiency and cost optimization. Passionate about Artificial Intelligence (AI), Digitalization and Industry 4.0 A Singapore based Venture Capital fund for supporting startups at a “take-off” stage with innovative technologies Focus: Startups building platforms for multiple applications with core technologies such as: • IoT, Industry 4.0 or similar • Artificial Intelligence coupled with data analytics • Machine vision, Vision recognition-based applications Target sectors: Large & Medium sized Industrial Plants / Fintech & Retail / Smart city applications Target markets: China//India /South East Asia Senquire Pte Ltd is a Singapore startup focused on developing cutting edge products incorporating Artificial Intelligence (AI) and Machine Learning currently in the Industrial and Fintech domains. • Launching of Vision AI products in China, ASEAN and India markets. • Setting up a Vision AI development center in Singapore focused on IP generating development • Developing strong linkages with the Singapore startup ecosystem including government and non-government agencies. • Arranging VC funding as needed for rapid growth in focus markets • Leading the Global Procurement function for Window Sashes, Wooden Products like doors, floors, exterior decks etc, including hardware and components for the same. • Handling a total procurement value of over $2 Bn delivering over 5% direct savings YoY • Driving transformational projects to globalize procurement base with following key initiatives: o Launch an International Procurement Office headquartered in Singapore with a target of moving $100M of procurement spend from Japan to overseas. o Drastically optimize the vendor base by reducing from 1000 to 250 within 3 years o Develop “Strategic Partners” globally based on innovation and competitiveness; 7 partners developed in 1 year in China, Thailand and Vietnam o Drive “Breakthrough Projects” to achieve 25-40% savings in specific categories through CAE analysis and design optimization along with strategic partners • Leading Manufacturing, Procurement & Supply Chain for Sanitaryware, Faucets, Bathing & Wellness, Showers, Tiles and Kitchens for 25 plants spread globally with 15000+ employees, handling a procurement value of over $2 Bn and delivering 8-9% productivity YoY. • Leading the Global Development Centers for New Products with full responsibility for ensuring projects are delivered on time within budget from inception through completion. • Deploying a strong operations footprint to optimize plant loading, capacity expansions / rationalization and new plant addition thereby facilitating geographical reach. • Achievement of key operational metrics/measures using Lean Six Sigma tools: Yields, Savings programs to drive material and labor productivity, Quality DPMO’s, Inventory Management, OTIF and various EHS programs. • Integration of newly acquired plants into the global supply chain including assimilation of key leaders from varied cultures. • Collaborating with business leaders and human resources to develop and execute an integrated approach to development, learning and talent management Leadership of Manufacturing, Procurement & Supply Chain for all categories of Lixil - Sanitary ware, Tiles, Metal products, Wood, Kitchen, etc covering 20 plants across Asia 1) Manufacturing: Ensure achievement of key operational metrics such as First Pass Yields, Productivity, Variable & Opex Costs, Material Cost Savings, Quality DPMO’s, Scheduling & Plant Loading Optimization, Inventory Management, Fill Rate, Capex & project management, EHS programs etc. 2) Procurement: Drive Strategic Sourcing across all categories of purchased materials and components. Build a strong network of strategic partners for OEM / ODM product development and sourcing. 3) Operational Excellence: Drive Six Sigma and best practice sharing across all Lixil plants in Asia. In this position, I report into the CEO of Lixil Global Company"
Dharamveer Salecha + Morgan Stanley,"21+ years of experience in building industry leading front to back platforms covering sales & trading and middle & back office Operations systems. Current role - India head of Securities Settlements, leading renovation effort to build a cloud native solution for global markets across asset classes. President of Lions Club of Mumbai Western (NGO) for year 2017-18, and currently on the Board of Directors. mid 2020 ~ : India head of Securities Settlements technology - Cloud native platform, global markets, multi-asset class. 2018 - mid 2020 (@Hong Kong & Mumbai) : Private Wealth Management Technology - Order Management, Trading, Portfolio Management. 2011 - 2017 : Equity Derivatives - Vanilla OTC & Exotic Trade Capture #Head of Asia Technology - Budgeting, planning and delivery 2010 : Listed Derivatives - Trade Booking and Life Cycle Management applications #Delivery lead 2008 - 2009 : Prime Brokerage - Portfolio & Tax-lot Accounting, and Client Custody Technology #Product architecture, design and development 2006 - 2007 (@Tokyo) : Equity trading systems, Trade enrichment #Design and development, business user face-off 2004 - 2005 : Trade booking & Middle-office enterprise applications #Product design and development 2004 (Jan - Apr @New York) : Start up member at Morgan Stanley Technology in India. #Culture, Trainings, Application development with global colleagues"
Dhiraj Rajaram + Mu Sigma,"Data is the new crude) oil. Supply chains built on physical goods have been replaced in importance by decision supply chains. Competitive differentiation is no longer in the creation of analytics, but in the consumption of analytics. But there’s a problem.The amount of data generated in the world doubles every 18 months, yet there’s a dearth of impact. Products are not flexible. IT-led waterfall model is not agile and reacts badly to changing scope. Management consulting operates through proxy knowledge. We need a new paradigm. And it’s why I founded Mu Sigma – to build a man-machine ecosystem that helps companies institutionalize the decision supply chain.The new paradigm is built on our belief system that all living things thrive better in a state of flow, which is a harmony between order and chaos. There are three fundamental governing principles underpinning our company: 1) L = d/dt K): Learning over Knowing2) X^2: Extreme Experimentation over Experts 3) The New IP: Not intellectual property, but interaction property through an interdisciplinary perspectiveAs founder of Mu Sigma, I’m responsible for our strategic direction. Prior to founding the company, I worked at Booz Allen Hamilton and PwC. The experience working with Fortune 500 companies made me realize that there was more to analytics than just data and black box models. Big companies need a better art of problem solving. Mu Sigma’s aim is to teach them how to fish, not just give them the fish. And in doing so, leave behind a bit of the Mu Sigma mindset in every client. Visit us @ www.mu-sigma.com"
Dinesh Jain (He/him/his),"CEO | Executive Coach | Business Advisor | India Entry | Speaking Management Advisory, India Entry, Business Expansion, Executive Coaching, Mentoring and Speaking, Business Strategy,Turnaround, Marketing Strategy, and Go To Market Strategy. Helping businesses to move to the next level of scale in India and for international companies building their next biggest market by helping them walk through the maze of India. Focus on consumer facing businesses from a market scoping to bulding a framework for delivery. Specific solutions keeping in mind the vision and capabilities of the organisations. Have built brands and businesses for Indian and International organisations successfuly. Cross industry veteran of 30+ years in FMCG (Unilever), Liquor (Remy Cointreau), Media (ABP and Zee) and Automotive (Nissan) industry in leadership positions in India and International markets. Have established multiple businesses and brands in markets of India (largely), South East Asia and Middle East (GCC). Follow a global work ethic and a strategic approach. A growth advisor for enterprises in Asia and Africa that are bursting with energy. Currently working with a Medical Services and a Pharma retail company in Nigeria. Focus on providing strategy for companies to establish and expand in India. Special focus on India entry for Global organisations. Work with corporate leaders for excellence in performance through learning with real life examples. Have worked with CXOs and C-1 levels for personal excellence. Coachees have been cross industry in India. Change manager to a turnaround assignment in an established media company. The challenge is to manage the bottomline to be a benchmark in the industry."
Dinesh Nirmal,"General Manager, IBM Automation Dinesh Nirmal is a C-Level Executive steering a transformation strategy to build an AI-powered automation business to drive billions in annual revenue. He brings over 20 years' leadership in data and analytics transformation, leading strategy and execution for technologies spanning machine learning, analytics at the edge, open source, analytics, and database. As General Manager, IBM Automation Dinesh has global responsibility for business strategy, technology development, operations, sales, marketing, and overall financial performance. Recognizing a powerful opportunity to unlock enterprise value with automation, Dinesh is leading the shift from a set of siloed products into a cloud-native hyperautomation business by building a single AI-infused platform on an API- and event-driven architecture. Before being named GM, Dinesh held concurrent roles as Chief Product Officer for Cloud Paks, leading IBM’s hybrid cloud platform strategy, and Vice President of Development for IBM Cloud Integration. From 2017-2020, Dinesh led product development for Data and AI, creating a new business with a market-defining data and AI platform built on open source. Using agile development processes, the platform went from incubation to a production enterprise-ready offering in months, generating significant revenue increasing by double and triple digits YOY over three consecutive years and gaining favorable analyst recognition. Dinesh rebuilt the business to factor AI into every part of the portfolio, and drove new customer engagements in telecom, manufacturing, and other industries by inspiring a vision of data modernization and AI-driven strategy and providing a practical blueprint to achieve it. Dinesh led development for more than 20 products launched during his tenure including IBM Integrated Analytics System, Machine Learning for z/OS, Data Science Experience, IBM Cloud Pak for Data, and IBM Cloud Pak for Data System. A people-first leader and change agent, Dinesh revitalized organizational culture by communicating a vivid sense of purpose and fostered a culture of innovation, resulting in measurably improved morale. Under his leadership as Site Executive, Silicon Valley Lab has grown to be a hub of innovation, hosting Fireside Chats with international dignitaries and an AI camp for children in partnership with the City of San Jose. In 2019, Dinesh opened the first dedicated cricket pitch at a tech campus in Silicon Valley. Dinesh speaks and writes internationally about data and AI technology, publishing a guest column in VentureBeat and cited on AI by Forbes. General Manager for IBM Automation with global responsibility for strategic direction and management of IBM AI-powered Automation business including marketing, sales, operations, technology development, and overall financial performance. Led strategy for Cloud Paks, IBM's enterprise-ready, containerized software solutions that give clients an open, faster and more secure way to move core business applications to any cloud. Led product strategy and engineering for data and AI, overseeing a team of more than 6000 globally. Built a new business by taking IBM's end-to-end data and AI platform from incubation to launch in months, generating significant revenue in less than one year and gaining recognition from analysts. Directed the integration of open source software across the portfolio, restructuring the business to infuse AI into every product in the extensive software and hardware portfolio. Grew a development site in Krakow, launched eight international Machine Learning Hubs to work side-by-side with clients, and instilled a “people-first” culture resulting in improved morale and performance worldwide. Streamlined developer processes resulting in faster release times and higher quality. Responsibilities expanded from data and AI to include business analytics, financial services, streaming data technology, cloud data services, and Watson tools."
Dipendra Malhotra,"Head of AIDT (Analytics AI Data Technology) at Morgan Stanley Wealth Management Head of Morgan Stanley Wealth Management Artificial Intelligence, Machine Learning, Analytics and Data Lead and Manage the team that is responsible for Strategy, Architecture, Design, Development, and Operations of GWM Client Data HUB. This hub is built on Siperian MRM solution and consolidates customer and account information for approx. 20 million customers from over 10 different enterprise systems. Information is then delivered via broadcast, realtime requestandresponse as well as scheduled batch processes to multiple systems including FA desktops, end user websites, SalesForce.com, BI systems, etc. Responsible for delivering technical architecture and solutions for all financial services client projects involving data integration, BI, DW, analytics, ETL, SOA, WebServices, Data Services. I was the director of the engineering teams and QA team. My teams developed and maintained following products: - SiteCatalyst - SearchCenter - Genesis My QA team was responsible for QA of all Omniture products"
Divya A.,"HR Services Officer || Pursuing CIPD Level 5. HR professional with over 10 years experience as HR Business Partner across diverse business models. Led as HR Business Partner for businesses in BFSI, Analytics, US Healthcare, Travel, Utilities, Digital Transformation, Quality, Solutions & Capability Teams for spans ranging from 500-1000 employees. Alonside hold 4 years of experience in Internal Corporate communication. Six Sigma Green Belt certified with proven track record of driving performance excellence, organisation effectiveness, and superior employee engagement. Skills: Business HR, Employee engagement & Retention, Manpower Planning, Change Management, Investigations, Consulting, Performance management, Succession Planning, Talent acquisition, Communication, Budgeting, Talent Management & development, Rewards & Recognition, Labour and Statutory compliance, Grievance Handling, Client Management skills, Reporting, Virtual engagement, Remote working Select Experience: Strategic Business Support • Provide market intelligence and possible impact to the business • Recommend corrective measures based on the exit analysis • Offer solutions to build hiring pipeline for anticipated projects • Share regular updates regarding headcount, attrition, diversity and hiring Engagement • Create interventions around areas highlighted through the engagement survey • Ensure regular skip level meetings, high tea session with leaders and focus group discussions with HRBP • Assist business leaders with the talent review process Retention • Create various opportunities of movement for employees by capturing their aspirations • Exit chat with critical resources for retention • Develop and implement attrition tools to avoid business interruption Talent Acquisition • Understand and fulfil conflicting business expectations • Provide market intelligence • Develop and maintain various hiring reports for senior leaders Policies & Procedures • Conduct performance improvement sessions for below average performers • Implement processes to ensure good new joiner experience • Design business specific induction and training programmes. HRBP for F&A Businesses. I took over the role in Analytics as HR Business Partner from Nov 2015"
Divyesh Chauhan,"Analytical risk professional with a strong technical background and 6 years of assurance and audit experience with a wide range of clients from small to large global enterprises and across financial services sectors like asset management, insurance, NBFC and Banks. Experience in an independent appraisal of the effectiveness of the policies, procedures and standards by which organisations financial, physical and information resources are managed, thereby assisting the management in the effective discharge of their responsibilities. Work closely with IT, Actuarial and Data Analytics functions towards a common goal. Proven ability to influence and act as a trusted advisor for stakeholders at all levels in the organization and retain effective working relationships with peers and stakeholders. Skills: Process Improvement · Agile Testing · Agile Environment. M&G Investments - June 2012 – July 2016; Prudential UK - August 2016 till date • Lead various audit across M&G Investments and Prudential UK&EI and was entrusted with end to end responsibility of audits from planning and reporting including preparation and vetting of Risk and Control Matrix, Control design and operational assessment and audit reports. • Know within team for delivering audits with high quality standards and have provided valuable recommendations in audit. At the same time have ensured confidentiality, integrity and accuracy of the audit documents. • Audited areas like governance framework, operations, financial accounting, compliance with regulations, fraud management, system/functional validations and IT checks. • Handled team comprising of Business, IT and Data Analytics SME providing insights on area being reviewed and engaging with business on outputs provided by SME. • Responsible for preparing and submitting of reports to the senior management, track and follow-up on implementation of audit recommendation agreed during the Audit. • Other than the routine audit work have worked on annual audit planning activities, audit resourcing and budgeting, updating Senior Managers and Audit Directors on resource utilisation and constraints and keep them abreast with the audit delivery targets and help resolve crunch points. Manage commercial aspects like invoicing and monitoring budgets for the responsible audit staff. • Engage with Risk and HR team on monthly basis to understand the challenges faced by the team, emerging issues and actions taken, understand regulatory updated and assess its impact. Work in collaboration with team to enable them to improve the overall effectiveness of the function. Handling Audits for Non Banking Financial Companies and Asset Management Companies. Have been steering a team size of 6 - 7 professional."
Dr. Karan Narang,"Consultant at Egon Zehnder | Ex- Engagement Manager at McKinsey and Co.| IIM Lucknow| MBBS I lead many of Egon Zehnder’s mandates in the consumer (FMCG, retail, media, consumer tech) and healthcare verticals in India, and the region. Across my stints in medicine, management consulting and (now) leadership advisory- one thing that has stayed consistent is finding myself in situations where one is required to play the role of a ‘trusted advisor’. This notion both energises, and humbles me to no end. At McKinsey, besides serving Industrial and Healthcare clients, I also thoroughly enjoyed the work with public/ government institutions; and being associated with the McKinsey founded livelihood initiative - Generation. I continue to bring that broader passion around government and public/ social sector, to my current work at Egon Zehnder as well."
"Dr.Kopal Vyas Dhage, Ph.D","New Payment Services| Prepaid| Payment Gateway| Forex | Banking. With experience of more than 15 years, have demonstrated history of working in the information technology and services industry, fintech startup & retail banking. Worked on Smart City Solutions , Transit Payments, Payment Gateways, Prepaid card solutions, Management, Business Relationship Management, Risk Management, Team Management, and Business Development. New Payment Services including Prepaid Card Solutions. Banking Alliances, Channels & Partnerships. Responsible for Business Development for Mumbai Region and Rest of Maharashtra. Working closely with various Banks and Financial Institutions on multiple Smart City projects, Transit, and Financial Inclusion solutions. Understanding of payment systems, protocols, technologies, and systems used in payments, mobile,3-D secure, EMV, authentication, NFC, tokenization, money transfers, working knowledge of system interconnection methods(APIs, SDKs, ISO messages etc.) and frameworks balanced with business acumen. Managed a broad portfolio of products/solutions through the entire life cycle;demonstrated leadership in new product development and deployment.Managed 12 counties of Africa and multiple Indian projects for Prepaid product implementation and management. Managed and supervised entire Branch Operations with key focus on process adherence and customer satisfaction. Conducting regular pre-audit of branch to ensure NIL process deviations. Acquired elaborate knowledge of KYC, AML, BCP and various RBI guidelines. Contributed high growth of CASA and Insurance business of the branch by adding 60 privilege relationships and deepening the existing Trade relationships Led my team to achieve the highest income in Trade and FX Pan India by increasing the branch Trade and FX income by over 300% for FY 2012-13 Brought over 300 salary account relationships to the branch in one financial year Received Appreciations from Zonal head for effectively identify and reporting suspicious transactions"
Farid Haque,"DeepTech Investor, Venture Builder W2.5/3 & Venture Partner. Specialties: Start-ups, Hedge Fund Portfolio Growth, Private Equity, Venture Capital, Corporate Venture Capital, Venture Builders, Family Office Investments. Media (Publishing), SaaS and Marketplace SME, Accelerators, Education (Digital Innovation, Flipped Classrooms, E-learning, Educational Gaming), Financial Services (Retail, Commercial and Corporate Banking), Fintech (Payments, Lending), Travel and Hospitality (Hotels, Student Housing & OTAs), Pharmaceuticals (Contract Management), Telecoms, Retail, FMCG, Public Services, VPN and Privacy industry SME. Emerging Markets, Europe and North America. ERLY STAGE STUDIOS is a creative innovation studio that is in the business of creating content and technology products that helps drive educational outcomes. We are a distributed studio based between Europe and Asia and work on NFT assets and Games, Graphic Novels, Anime. We are also an indie publisher in our own right having successfully funded over Kickstarter. We publish in print and on digital channels. The Studio also partners with leading Publishing Houses around the world such as Oxford University Press.The Studios business builds on its sister brand, ERLYSTAGE.com, a media platform which launched in 2012. ERLY STAGE is a quarterly focused media platform focused on long form journalism (quality editorial) connecting the worlds of entrepreneurs with that of the investor. We aim to bring the voice of the investor to the table allowing readers to enjoy the latest in vertical focused quarterly content in both print and digital from around the world through our correspondents, experts and guest editors. Global COO for new Accenture capability for Venture building and growth. Venture builder responsible for originating new business opportunities around the globe. Mentor at Antler, a global early-stage VC that enables and invests in the defining companies of tomorrow. Running global ops for AssetVault (Catalogue, Protect and Unlock the value of your Assets). The smart way to protect your assets. Also helped create eWill.io (the world's leading online legacy management and testament creation tool). Also cofounded DataKiwi (an AI startup focused on document discovery for the legal market)."
Florian Weihard,"Developing technologies and growing businesses in China | Factory Automation, Industry 4.0, AI Vision Helping companies to automate production Responsible for Technology Strategy, Innovation and Transformation Management as well as Business Development Head of Business Unit ""New Business"" Head of R&D - Focus on Fuel Cell, Machine Vision and Industry 4.0 Technology Who we are: A leading customized automation high-technology machine builder with 600 people based out of Suzhou. With >200 local engineers in R&D with core competencies from mechanical design over system control and machine vision to data science, we are leading the technology development in our field. Helping companies to digitize production Co-Founder of the Company General Manager from OCT 2018 to DEC 2021 Vision: Take the Guesswork out of Shop Floor Management! Mission: Provide Hardware, Software and Services for Digital Transformation Differentiation: Combining Core Competence in Machine Building with Information Technologies and Data Science One-Stop-Solution for a holistic Smart factory of the future Affordable for any SME by modern IT architecture Leveraging Machine Learning Technology Helping SMEs to be successful in Suzhou Member of the Board - APR 2019 - MAR 2020 Vice Chair of the Board - APR 2020 to MAR 2021 Chairman of the Board since MAR 2021 Who we are: DUSA European Association Suzhou is a private, non-profit association with around 150 member companies Founded in 2002 by German Companies in Suzhou Vision: We help members in a very dynamic environment in and around SuzhouMission: Provide Information and Competence by organizing related events and trainings Proactively link members enabling Collaboration and Pooling and provide related information Organize events for Networking no matter if Business related or Social Value Proposition: Access to information, training and networks at reasonable costs First-hand key information enabling success in China Initiatives covering all key areas for business strategy in manufacturing Enjoyable atmosphere for networking Helping startups to be successful in China Helping Industry, Students and University to connect"
Gananath Misra,"Investor at Accel Having completed my graduation in Applied Mathematics from IIT Roorkee, I was working with SIXT as a Product Owner in my last role where I had been involved in conceptualizing and building multiple supply-side products for SIXT ride from scratch - Driver App, Dispatcher App & Driver Company Portal. I was earlier with products team at GoZefo, a white label e-commerce startup. I've worked with startups on product management/growth roles in past, some of which are Active Ai, Treebo Hotels, Lendingkart, Dudegenie etc. I'd love to combine my passion for products, growth and numbers to solve user problems and provide user delight. If you have a great idea/business plan/startup please feel free to reach me at gmisra@accel.com Conceptualised & built supply-side products for SIXT ride - Driver App, Dispatcher App & Driver Company Portal from scratch - Worked in products team on MWeb and DWeb pods at Zefo, India’s largest used goods e-commerce site backed up by Sequioa and Helion. - Projects: Urgency Notifications | Checkout Optimisation | Search & Recommendation | A/B Testing | Analytics - GA Events, Enhanced Ecommerce. - B2B product management experience : Managed end-to-end process from proposal to product delivery for conversational and transactional banking chatbot powered by proprietary algorithms. Managed other new projects apart from core banking ones as well which were based on Health Insurance, Travel Insurance, E-commerce businesses etc. Worked on automating the crowd-sources audit product, Friends of Treebo to increase coverage rate from 55% to 95%. Analysed & ran a pilot project on customer delight using QR codes in properties. Developed anonymous employee survey tool."
